,country,cdn,values
0,AE,akamai,132.01518
1,AE,akamai,130.889615
2,AE,akamai,131.28456
3,AE,akamai,127.2104
4,AE,akamai,126.690995
5,AE,akamai,127.022225
6,AE,akamai,134.11254
7,AE,akamai,134.11686
8,AE,akamai,133.98617
9,AE,akamai,134.166745
10,AE,akamai,133.68232
11,AE,akamai,134.53538
12,AE,akamai,130.030325
13,AE,akamai,129.646525
14,AE,akamai,129.721245
15,AE,akamai,130.328915
16,AE,akamai,131.67828
17,AE,akamai,130.557255
18,AE,akamai,153.540565
19,AE,akamai,147.67097
20,AE,akamai,134.312915
21,AE,akamai,134.322685
22,AE,akamai,134.77052
23,AE,akamai,130.48235
24,AE,akamai,130.19355
25,AE,akamai,130.171875
26,AE,akamai,134.10713
27,AE,akamai,134.41998
28,AE,akamai,134.037215
29,AE,akamai,129.82307
30,AE,akamai,130.31187
31,AE,akamai,130.087955
32,AE,akamai,133.7224
33,AE,akamai,133.797005
34,AE,akamai,134.40798
35,AE,akamai,129.92056
36,AE,akamai,129.596385
37,AE,akamai,130.085865
38,AE,akamai,130.02783
39,AE,akamai,129.865835
40,AE,akamai,134.272185
41,AE,akamai,136.701195
42,AE,akamai,134.71192
43,AE,akamai,131.141335
44,AE,akamai,130.47899
45,AE,akamai,130.392805
46,AE,akamai,134.34243
47,AE,akamai,134.42869
48,AE,akamai,134.743905
49,AE,akamai,134.547055
50,AE,akamai,134.06018
51,AE,akamai,134.122085
52,AE,akamai,130.244235
53,AE,akamai,129.592785
54,AE,akamai,130.62353
55,AE,akamai,129.94625
56,AE,akamai,129.614795
57,AE,akamai,129.799475
58,AE,akamai,135.04049
59,AE,akamai,133.63394
60,AE,akamai,134.004985
61,AE,akamai,128.730325
62,AE,akamai,128.393155
63,AE,akamai,129.180985
64,AE,akamai,135.53078
65,AE,akamai,134.49899
66,AE,akamai,134.35537
67,AE,akamai,135.545845
68,AE,akamai,134.68889
69,AE,akamai,134.52356
70,AE,akamai,128.25819
71,AE,akamai,128.376855
72,AE,akamai,128.015495
73,AE,akamai,134.297165
74,AE,akamai,134.03307
75,AE,akamai,134.138455
76,AE,akamai,127.811855
77,AE,akamai,128.01786
78,AE,akamai,127.713095
79,AE,akamai,134.508305
80,AE,akamai,134.76792
81,AE,akamai,133.717775
82,AE,akamai,127.90474
83,AE,akamai,127.90545
84,AE,akamai,127.885705
85,AE,akamai,127.7914
86,AE,akamai,128.14322
87,AE,akamai,128.18804
88,AE,akamai,135.90492
89,AE,akamai,135.5625
90,AE,akamai,134.34134
91,AE,akamai,135.76722
92,AE,akamai,135.05529
93,AE,akamai,135.59356
94,AE,akamai,127.96076
95,AE,akamai,128.41793
96,AE,akamai,128.087455
97,AE,akamai,128.288305
98,AE,akamai,129.014105
99,AE,akamai,127.844955
100,AE,akamai,134.30574
101,AE,akamai,134.30559
102,AE,akamai,134.92008
103,AE,akamai,135.463385
104,AE,akamai,134.830445
105,AE,akamai,134.882175
106,AE,akamai,128.818215
107,AE,akamai,127.723955
108,AE,akamai,128.233225
109,AE,akamai,141.709615
110,AE,akamai,134.955225
111,AE,akamai,133.95382
112,AE,akamai,128.26088
113,AE,akamai,127.80906
114,AE,akamai,127.97153
115,AE,akamai,135.32013
116,AE,akamai,135.576415
117,AE,akamai,135.85034
118,AE,akamai,128.49022
119,AE,akamai,127.815465
120,AE,akamai,129.79482
121,AE,akamai,136.35522
122,AE,akamai,135.8682
123,AE,akamai,134.98889
124,AE,akamai,128.04286
125,AE,akamai,127.939555
126,AE,akamai,127.992505
127,AE,akamai,135.63671
128,AE,akamai,135.21082
129,AE,akamai,135.032365
130,AE,akamai,127.9235
131,AE,akamai,127.96595
132,AE,akamai,127.87655
133,AE,akamai,135.904925
134,AE,akamai,135.14873
135,AE,akamai,135.63991
136,AE,akamai,130.527695
137,AE,akamai,130.18642
138,AE,akamai,130.50858
139,AE,akamai,136.119935
140,AE,akamai,135.780855
141,AE,akamai,135.4907
142,AE,akamai,130.906155
143,AE,akamai,130.84741
144,AE,akamai,130.56802
145,AE,akamai,136.68371
146,AE,akamai,135.442405
147,AE,akamai,135.202165
148,AE,akamai,130.20345
149,AE,akamai,129.92447
150,AE,akamai,131.40343
151,AE,akamai,134.6498
152,AE,akamai,134.44045
153,AE,akamai,133.734645
154,AE,akamai,130.187465
155,AE,akamai,130.13214
156,AE,akamai,130.114945
157,AE,akamai,130.49999
158,AE,akamai,130.88496
159,AE,akamai,131.34065
160,AE,akamai,135.24979
161,AE,akamai,134.350025
162,AE,akamai,134.213455
163,AE,akamai,134.779845
164,AE,akamai,134.61578
165,AE,akamai,134.460545
166,AE,akamai,130.690925
167,AE,akamai,130.668715
168,AE,akamai,131.04668
169,AE,akamai,130.275605
170,AE,akamai,130.15553
171,AE,akamai,131.302495
